Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned
2022-08-01,Monica Moore MD,Mary Butler,Nissan,Altima,2018,15983,0.070495227704354,1126.73
2023-03-15,Roberto Rose,Richard Pierce,Nissan,F-150,2016,38474,0.134438836888659,5172.4
2023-04-29,Ashley Ramos,Sandra Moore,Ford,Civic,2016,33340,0.114535921586607,3818.63
2022-09-04,Patrick Harris,Johnny Scott,Ford,Altima,2013,41937,0.0921907218120205,3866.2
2022-06-16,Eric Lopez,Vanessa Jones,Honda,Silverado,2022,20256,0.113489792528397,2298.85
2022-12-18,Terry Perkins MD,John Olsen,Ford,Altima,2015,14769,0.0772469351075994,1140.86
2022-06-12,Ashley Brown,Tyler Lawson,Honda,F-150,2013,41397,0.142780120462023,5910.67
2022-06-20,Norma Watkins,Michael Bond,Ford,Altima,2015,46233,0.071623757918222,3311.38
2022-09-02,Scott Parker,Stephanie Smith,Ford,Corolla,2021,27337,0.0995036506668147,2720.13
2023-04-06,Andrew Smith,Ashley Moreno DDS,Ford,Civic,2018,16309,0.14992578196198,2445.14
2023-03-12,Harold Nelson,Isaac Patton,Honda,Silverado,2021,41259,0.0925411596237328,3818.16
2023-01-29,Richard Richardson,Justin Gray,Toyota,Silverado,2022,48224,0.0905921461126158,4368.72
2022-05-29,Mia Acosta,Rebecca Best,Ford,Altima,2017,36409,0.122348852294727,4454.6
2022-08-12,Lisa Campbell,Lisa Anderson,Toyota,F-150,2011,29628,0.112326293802525,3328
2023-04-06,Carrie Howard,Rodney Black,Chevrolet,Altima,2021,10313,0.10387489462718,1071.26
2022-12-21,James Velasquez,Natalie Thompson,Honda,Corolla,2016,36607,0.0552509783356084,2022.57
2022-08-12,Kristin Holmes,Michael Hill,Nissan,Altima,2010,39916,0.0520077745192027,2075.94
2022-08-23,Amy Solomon,Taylor Moore,Nissan,Silverado,2018,18482,0.0861853237469481,1592.88
2022-10-18,William Williams,Jordan Taylor,Toyota,Civic,2013,17158,0.127227795794446,2182.97
2023-03-09,Patricia Reynolds,Alison Walker,Ford,Altima,2014,28796,0.0934512093403834,2691.02
2022-09-28,Michelle Gonzalez,Juan Davies,Ford,Corolla,2014,24128,0.0847808821194811,2045.59
2022-12-20,Jennifer Morris,Kristin Robinson,Toyota,Civic,2011,36895,0.128288108886215,4733.19
2022-07-26,Jeremiah Thompson,Clifford Evans,Nissan,Altima,2013,16797,0.144237331022843,2422.75
2022-07-18,Matthew White,Nancy Martinez,Chevrolet,Altima,2020,30184,0.13699119341719,4134.94
2022-12-19,Jason Riley,Ruben Gomez,Nissan,Civic,2010,41587,0.0844044075014132,3510.13
2023-02-15,Faith Pierce,Jimmy Dunn,Honda,Silverado,2016,35279,0.0633996643297051,2236.68
2022-06-23,Samuel Brown,David Wagner,Chevrolet,F-150,2016,33502,0.122923325575576,4118.18
2022-07-14,Amber Cooper,Claire Day,Nissan,F-150,2018,30296,0.100170363416358,3034.76
2022-07-17,Paul Potter,Corey West,Honda,Corolla,2018,28406,0.0852466382718028,2421.52
2022-12-11,Jason Cabrera,Rebecca Hansen,Chevrolet,F-150,2012,20725,0.145073440594558,3006.65
2022-07-18,Brenda Morales,Jason Hahn,Ford,Altima,2011,23330,0.0689807555325172,1609.32
